"","logFC","logCPM","LR","PValue","FDR"
"81617",0.681019800503974,4.22721405971108,5.82640016177997,0.0157873971707015,0.317098084385928
"28977",-0.494316452184661,5.25040573860428,5.8237232965464,0.0158114402600639,0.317098084385928
"254887",1.27076454960732,2.29075713003528,5.82320298983989,0.0158161179332034,0.317098084385928
"23007",1.06617828634329,2.18743366529272,5.82169700398915,0.0158296651205219,0.317098084385928
"23491",1.64442109935943,0.141774721949329,5.82158349870722,0.0158306866486672,0.317098084385928
"105379191",-2.53863771756221,-1.13447580532353,5.82156494355617,0.0158308536483171,0.317098084385928
"27283",-2.57750856985342,-1.12897066884738,5.82047925065445,0.0158406282385479,0.317098084385928
"65983",0.673062465989381,6.48161472258424,5.81409467029966,0.0158982351551255,0.318021973402061
"2296",0.848729698671735,4.97824058916165,5.81185421804942,0.0159185014903342,0.318198123743074
"105370768",-3.20686199090493,-1.02149607307187,5.80473915180582,0.0159830385754667,0.319258007908718
"6423",1.46979102971473,3.74999454392211,5.80256615920407,0.0160028023766506,0.319258007908718
"119391",-0.668160334592249,3.78415662740419,5.80119629293515,0.016015274526852,0.319258007908718
"8991",0.780554933116622,4.29902421574257,5.80016450592501,0.0160246751991873,0.319258007908718
"6900",-0.807350514914512,8.30006676257715,5.79891257645638,0.0160360892401219,0.319258007908718
"102724682",-0.74062038171869,2.29626364651034,5.79842730460089,0.0160405157944413,0.319258007908718
"107986298",-0.899230130975131,5.59442660439917,5.79513283334359,0.0160706006304853,0.319380371488534
"1496",0.834612143862718,4.83862970965113,5.79466810831903,0.0160748491389397,0.319380371488534
"4815",-1.0358541070524,4.51257768505059,5.79095598074202,0.0161088269327981,0.319380371488534
"321",-0.763909325853182,4.70568083231348,5.79019589234599,0.0161157932894213,0.319380371488534
"220388",1.64764599161793,0.307682264138656,5.78807849169644,0.0161352160540518,0.319380371488534
"205428",-0.622984889317059,4.63947958833797,5.78740874151725,0.0161413646464982,0.319380371488534
"105373819",-3.11865829498243,-1.04428452086622,5.78669942687449,0.0161478790911144,0.319380371488534
"6663",-0.81546607308859,6.22207006670429,5.78619523912749,0.0161525112695339,0.319380371488534
"105371970",-0.974254159136721,1.23649810142129,5.78527501640691,0.0161609692626926,0.319380371488534
"9705",-0.872972998440082,6.80464171915399,5.78519623556082,0.0161616935689318,0.319380371488534
"493869",1.1813217619988,1.44999323024423,5.78317072371571,0.0161803274948948,0.319429380472954
"57624",1.06802504656273,1.70082367558403,5.78164881299518,0.0161943430562721,0.319429380472954
"101929284",-2.83427012357391,-0.781950181072127,5.77995922562394,0.0162099174436553,0.319429380472954
"7857",1.05529387365195,5.51995943925376,5.77775255039851,0.0162302815320049,0.319429380472954
"644943",2.39411503584588,-0.0369905110741563,5.77738877851515,0.0162336410968885,0.319429380472954
"79730",-0.6511859320527,4.08777072013327,5.77661126549998,0.0162408241145955,0.319429380472954
"26279",-2.79560458690675,-1.10602499841933,5.77619113508413,0.0162447068333445,0.319429380472954
"200150",-0.8280194887386,3.00432303787165,5.77020373959922,0.0163001446533677,0.320292651309804
